"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","mean","sd","SKO"
"84448",0.45,0.47,0.008,0.072,0,0,0,0,0,0,0,0.362832325,0.351131409,0.189763528,0.562162162,0.5,25.3866082489462,4.16325262681054,0.0631315431420759
"102438",0.412,0.478,0,0.096,0,0,0,0.014,0,0,0,0.451029814,0.336031242,0.236588522,0.589189189,0.5,26.2602458911094,3.77347309385598,0.0631228664625993
"84363",0.418,0.472,0.006,0.104,0,0,0,0,0,0,0,0.457050136,0.32068926,0.217361616,0.559459459,0.5,26.1756247449258,3.81138918255141,0.063122385975677
"126701",0.378,0.468,0.012,0.142,0,0,0,0,0,0,0,0.557427972,0.311596505,0.271557863,0.583783784,0.5,26.934816957466,3.46963891963886,0.0631158104591033
"42386",0.342,0.47,0.006,0.182,0,0,0,0,0,0,0,0.65508662,0.264334128,0.270485176,0.543243243,0.5,28.3641311699641,2.81666334356024,0.0631146604852767
"84364",0.416,0.472,0.006,0.106,0,0,0,0,0,0,0,0.462634265,0.319210131,0.21927666,0.559459459,0.5,26.2288601840957,3.78744167410966,0.0631145174846002
"139245",0.328,0.48,0,0.182,0,0,0,0.01,0,0,0,0.676763131,0.262540817,0.279701262,0.594594595,0.5,28.0222531347806,2.97409001898933,0.0631139708056873
"2685",0.358,0.474,0,0.166,0,0,0,0.002,0,0,0,0.620604319,0.261189657,0.244800544,0.524324324,0.5,26.7142830355502,3.56918148579033,0.0631114843956493
"168492",0.422,0.474,0.008,0.096,0,0,0,0,0,0,0,0.437184138,0.331387344,0.216346798,0.594594595,0.5,26.1521794070303,3.82173398361184,0.0631096662281452
"13132",0.464,0.474,0,0.052,0,0,0,0.01,0,0,0,0.310722278,0.361637102,0.167729489,0.545945946,0.5,24.9365538148658,4.36217679443127,0.0631093096552731
"57774",0.46,0.476,0,0.052,0,0,0,0.012,0,0,0,0.313645597,0.365143412,0.17446527,0.567567568,0.5,25.0767807359854,4.30018634384886,0.0631072135522304
"42455",0.406,0.468,0.008,0.118,0,0,0,0,0,0,0,0.492015193,0.318243756,0.239265113,0.545945946,0.5,26.6824122991296,3.58348725737697,0.0631060873808636
"42425",0.466,0.468,0.008,0.058,0,0,0,0,0,0,0,0.318233914,0.362458742,0.170846782,0.545945946,0.5,24.9845048476291,4.34088675547499,0.0631008040538917
"257435",0.288,0.486,0,0.222,0,0,0,0.004,0,0,0,0.769703138,0.216748742,0.264059487,0.627027027,0.5,28.6871090744162,2.66698139121949,0.0630979105708677
"42471",0.374,0.468,0.008,0.15,0,0,0,0,0,0,0,0.575634168,0.294662431,0.26265506,0.545945946,0.5,27.5143202195991,3.20628877007353,0.063094766647712
"85237",0.286,0.456,0.022,0.236,0,0,0,0,0,0,0,0.767853417,0.276498985,0.34303238,0.581081081,0.5,27.2598451039722,3.32205166771205,0.0630917844292451
"175967",0.414,0.482,0,0.098,0,0,0,0.006,0,0,0,0.453670852,0.315811491,0.208150017,0.6,0.5,26.4613199463056,3.68278440620694,0.0630876082569853
"139221",0.376,0.48,0,0.134,0,0,0,0.01,0,0,0,0.555114323,0.298336422,0.254252633,0.594594595,0.5,27.2949250975652,3.30601423655608,0.0630829070383663
"168544",0.318,0.474,0.008,0.2,0,0,0,0,0,0,0,0.703880471,0.253784309,0.281497479,0.594594595,0.5,28.1518686775801,2.91413598557482,0.0630789331263918
"13176",0.376,0.474,0,0.14,0,0,0,0.01,0,0,0,0.564235552,0.296827288,0.261029815,0.545945946,0.5,27.4269799778449,3.24589069707331,0.0630777593819652
"55229",0.3,0.476,0,0.214,0,0,0,0.01,0,0,0,0.745822031,0.241049334,0.291110458,0.562162162,0.5,28.3608369235534,2.81778875789677,0.0630759414146704
"84495",0.356,0.47,0.008,0.166,0,0,0,0,0,0,0,0.617955788,0.281570912,0.270553014,0.562162162,0.5,27.7062648049924,3.11845393151012,0.0630748403301089
"102425",0.438,0.478,0,0.07,0,0,0,0.014,0,0,0,0.373164552,0.355386109,0.20660008,0.589189189,0.5,25.5668036519601,4.08247194506583,0.0630737901551454
"85036",0.284,0.46,0.018,0.238,0,0,0,0,0,0,0,0.774810287,0.261698879,0.329013342,0.575675676,0.5,27.5474287043316,3.19095889067373,0.0630734216491191
"225883",0.362,0.484,0,0.142,0,0,0,0.012,0,0,0,0.582657244,0.295018974,0.264787021,0.632432432,0.5,28.1456586594528,2.91686923962055,0.0630669987310319
"42459",0.398,0.468,0.008,0.126,0,0,0,0,0,0,0,0.5134675,0.312348425,0.245838395,0.545945946,0.5,26.9103157186617,3.48014404305655,0.063065962795401
"43430",0.274,0.45,0.026,0.25,0,0,0,0,0,0,0,0.79112669,0.281105816,0.358928348,0.57027027,0.5,27.4711461716877,3.22562582468321,0.0630640740751101
"126853",0.276,0.466,0.014,0.244,0,0,0,0,0,0,0,0.793238304,0.242370488,0.313094265,0.586486486,0.5,27.6084111772594,3.16296364383247,0.0630576375402149
"10513",0.452,0.474,0,0.066,0,0,0,0.008,0,0,0,0.352975856,0.347097344,0.180755613,0.540540541,0.5,25.3774519832283,4.16631266547981,0.0630535764066533
"102444",0.4,0.478,0,0.108,0,0,0,0.014,0,0,0,0.485449834,0.327098226,0.248131085,0.589189189,0.5,26.5860460376517,3.62622168582143,0.0630488019629161
"63027",0.454,0.476,0,0.054,0,0,0,0.016,0,0,0,0.322709512,0.372265466,0.191330668,0.578378378,0.5,25.0983747340793,4.28979967635301,0.0630434143700231
"139217",0.384,0.48,0,0.126,0,0,0,0.01,0,0,0,0.533601402,0.304302356,0.248423342,0.594594595,0.5,27.0953941670414,3.39610843002923,0.0630426523812345
"13163",0.402,0.474,0,0.114,0,0,0,0.01,0,0,0,0.494459099,0.315975642,0.241041202,0.545945946,0.5,26.7289518169534,3.56173533184175,0.0630403413260093
"257433",0.292,0.486,0,0.218,0,0,0,0.004,0,0,0,0.760789004,0.219758186,0.263485537,0.627027027,0.5,28.7378562825832,2.64280696548577,0.0630360903448794
"15846",0.286,0.474,0,0.228,0,0,0,0.012,0,0,0,0.776626191,0.236115965,0.301181006,0.551351351,0.5,28.4625614845251,2.77038002318772,0.0630357044670874
"71002",0.254,0.476,0,0.248,0,0,0,0.022,0,0,0,0.836256209,0.240759862,0.329979946,0.594594595,0.5,27.5218076884844,3.2021529157208,0.0630289105918654
"55205",0.348,0.476,0,0.166,0,0,0,0.01,0,0,0,0.632701848,0.276548407,0.275024405,0.562162162,0.5,27.8134752886007,3.0687367845651,0.0630120237409292
"262676",0.306,0.486,0,0.2,0,0,0,0.008,0,0,0,0.724708606,0.24185597,0.274803623,0.637837838,0.5,29.059993669009,2.49253700346652,0.0630111117461673
"55155",0.448,0.476,0,0.066,0,0,0,0.01,0,0,0,0.356219915,0.35050481,0.187671296,0.562162162,0.5,25.3471348878657,4.17918519163191,0.0630089584372935
"126702",0.376,0.468,0.012,0.144,0,0,0,0,0,0,0,0.562581831,0.310108552,0.272865941,0.583783784,0.5,26.9588242158858,3.4575512370136,0.0630087356939555
"91977",0.334,0.478,0,0.182,0,0,0,0.006,0,0,0,0.669364673,0.255232548,0.266354088,0.567567568,0.5,28.3646367338142,2.81529324014693,0.0630034057785108
"84541",0.466,0.468,0.01,0.056,0,0,0,0,0,0,0,0.312402447,0.369747595,0.175299129,0.564864865,0.5,25.0003211065531,4.33260054619175,0.0630024035623737
"257360",0.438,0.486,0,0.072,0,0,0,0.004,0,0,0,0.378427659,0.329602859,0.16950111,0.627027027,0.5,26.1146219230544,3.83718040589555,0.062997857200938
"13164",0.4,0.474,0,0.116,0,0,0,0.01,0,0,0,0.499968222,0.314502692,0.242769269,0.545945946,0.5,26.7865968946831,3.53523492733871,0.0629978210267771
"254729",0.45,0.486,0,0.062,0,0,0,0.002,0,0,0,0.346020779,0.332745565,0.147259411,0.621621622,0.5,25.7331358213006,4.00744869416462,0.0629945727494824
"252744",0.382,0.474,0.012,0.132,0,0,0,0,0,0,0,0.538173581,0.315888271,0.261954691,0.632432432,0.5,27.8026850535562,3.07339662114055,0.0629859969814367
"126667",0.446,0.468,0.012,0.074,0,0,0,0,0,0,0,0.36800695,0.362186921,0.20748835,0.583783784,0.5,25.443125428249,4.13628853432339,0.0629851532931376
"139246",0.326,0.48,0,0.184,0,0,0,0.01,0,0,0,0.681570871,0.261049334,0.280432471,0.594594595,0.5,28.0458683380867,2.96186497390701,0.0629828641026159
"168528",0.35,0.474,0.008,0.168,0,0,0,0,0,0,0,0.628009285,0.277662166,0.269412772,0.594594595,0.5,27.726615687467,3.1081329496398,0.0629805685082334
"85136",0.286,0.458,0.02,0.236,0,0,0,0,0,0,0,0.769219022,0.269844674,0.336007656,0.578378378,0.5,27.3807350331117,3.2658535609111,0.0629800490765746
"42460",0.396,0.468,0.008,0.128,0,0,0,0,0,0,0,0.518772223,0.310874592,0.247403152,0.545945946,0.5,26.9656227505614,3.45412804260412,0.062978403877492
"123518",0.252,0.478,0,0.24,0,0,0,0.03,0,0,0,0.832174795,0.262576119,0.350041733,0.632432432,0.5,28.1423452975649,2.91740879822018,0.0629724670896222
"52537",0.434,0.476,0,0.082,0,0,0,0.008,0,0,0,0.403037683,0.334425911,0.200448786,0.556756757,0.5,25.6990457725941,4.02227919912096,0.0629667073789407
"91935",0.418,0.478,0,0.098,0,0,0,0.006,0,0,0,0.449794246,0.317467126,0.209484923,0.567567568,0.5,26.217788930418,3.79050015669452,0.0629576671930015
"210302",0.428,0.48,0.004,0.088,0,0,0,0,0,0,0,0.418644841,0.32305357,0.190029449,0.605405405,0.5,26.4197367246202,3.6999092307146,0.0629570896342949
"126723",0.334,0.468,0.012,0.186,0,0,0,0,0,0,0,0.665911856,0.27886153,0.294066999,0.583783784,0.5,27.4511995007134,3.2335063166943,0.0629549208050462
"60402",0.454,0.476,0,0.056,0,0,0,0.014,0,0,0,0.327761496,0.366475157,0.187559811,0.572972973,0.5,25.1503453122134,4.26553010762226,0.0629456445263303
"10514",0.45,0.474,0,0.068,0,0,0,0.008,0,0,0,0.359100434,0.345626158,0.183462775,0.540540541,0.5,25.4346524437834,4.1393897545956,0.0629337152878259
"42720",0.28,0.464,0.012,0.244,0,0,0,0,0,0,0,0.788334972,0.238810343,0.308604776,0.551351351,0.5,28.3884721728341,2.80346964507822,0.0629232123873826
"42426",0.464,0.468,0.008,0.06,0,0,0,0,0,0,0,0.324422528,0.360984909,0.173793146,0.545945946,0.5,25.0386076150494,4.31462890125614,0.0629223313442936
"91986",0.316,0.478,0,0.2,0,0,0,0.006,0,0,0,0.711553059,0.241896567,0.272335628,0.567567568,0.5,28.6300012278696,2.69171965587691,0.0629221539572559
"139208",0.402,0.48,0,0.108,0,0,0,0.01,0,0,0,0.483801437,0.317725708,0.233439999,0.594594595,0.5,26.6036676558967,3.61675298642499,0.0629186484994986
"13165",0.398,0.474,0,0.118,0,0,0,0.01,0,0,0,0.505453167,0.313029741,0.244464218,0.545945946,0.5,26.8433323362282,3.50868566754194,0.0629169734321158
"13162",0.404,0.474,0,0.112,0,0,0,0.01,0,0,0,0.488925637,0.317448592,0.239279592,0.545945946,0.5,26.6669772183198,3.5881293613657,0.0629089107164583
