"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"168291",0.42,0.478,0.004,0.098,0,0,0,0,0,0,0,0.445581617,0.316436325,0.20121387,0.589189189,0.5,0.0752375757540707,25.1197409800355,4.54928894519938
"211756",0.348,0.452,0.032,0.168,0,0,0,0,0,0,0,0.614430207,0.356095667,0.354600911,0.643243243,0.5,0.0752332077703028,27.8413644712909,3.24658994673467
"336304",0.312,0.488,0.002,0.198,0,0,0,0,0,0,0,0.71408451,0.230956668,0.249433268,0.651351351,0.5,0.0752176622747027,29.7556013704679,2.27148491229523
"252209",0.442,0.484,0.002,0.072,0,0,0,0,0,0,0,0.374031706,0.32759068,0.161046483,0.618918919,0.5,0.0752094011395434,25.1712811209011,4.52494042170592
"212738",0.402,0.484,0,0.112,0,0,0,0.002,0,0,0,0.491587944,0.295950049,0.203522139,0.605405405,0.5,0.0752076297934979,26.3728943955556,3.95840077798745
"52568",0.372,0.476,0,0.144,0,0,0,0.008,0,0,0,0.574774658,0.288627659,0.255475719,0.556756757,0.5,0.0752019928153963,26.5609486080545,3.86848051907368
"168619",0.37,0.472,0.01,0.148,0,0,0,0,0,0,0,0.576599907,0.299282499,0.266602365,0.597297297,0.5,0.07519621854408,26.8932804187784,3.70873218772814
"210286",0.46,0.48,0.004,0.056,0,0,0,0,0,0,0,0.32146743,0.34700203,0.148953312,0.605405405,0.5,0.075194443835864,24.6937777919455,4.7465872095345
"43827",0.288,0.442,0.034,0.236,0,0,0,0,0,0,0,0.756493898,0.318046068,0.38498504,0.581081081,0.5,0.0751903317630087,26.3099620040022,3.98821549248612
"169827",0.378,0.448,0.034,0.14,0,0,0,0,0,0,0,0.539794392,0.385107228,0.346264796,0.62972973,0.5,0.0751882385343709,26.7332962389136,3.78567114274049
"168618",0.372,0.472,0.01,0.146,0,0,0,0,0,0,0,0.571475158,0.300775748,0.265362752,0.597297297,0.5,0.0751811659495291,26.8565470956458,3.72629098299802
